Country	Income Group	Value	Area (Inputs FertilizersProduct E All Data (Normalized).csv)	Area Code (ISO2) (Inputs FertilizersProduct E All Data (Normalized).csv)	Element (Inputs FertilizersProduct E All Data (Normalized).csv)	Element Code (Inputs FertilizersProduct E All Data (Normalized).csv)	Item (Inputs FertilizersProduct E All Data (Normalized).csv)	Item Code (Inputs FertilizersProduct E All Data (Normalized).csv)	Unit (Inputs FertilizersProduct E All Data (Normalized).csv)	Year (Inputs FertilizersProduct E All Data (Normalized).csv)	Year Code (Inputs FertilizersProduct E All Data (Normalized).csv)
Niger	Low income economies	8	Niger	NE	Agricultural Use	5157	Urea and ammonium nitrate solutions (UAN)	4006	tonnes	2002	2002
Ecuador	Upper-middle-income economies	927.35	Ecuador	EC	Agricultural Use	5157	Superphosphates above 35%	4012	tonnes	2014	2014
Syrian Arab Republic	Low income economies	6	Syrian Arab Republic	SY	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2011	2011
Bulgaria	Upper-middle-income economies	17970	Bulgaria	BG	Agricultural Use	5157	Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate	4004	tonnes	2011	2011
Zimbabwe	Low income economies	3894.36	Zimbabwe	ZW	Agricultural Use	5157	Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate	4004	tonnes	2008	2008
Turkey	Upper-middle-income economies	283217	Turkey	TR	Agricultural Use	5157	NPK fertilizers	4021	tonnes	2009	2009
Ecuador	Upper-middle-income economies	54218	Ecuador	EC	Agricultural Use	5157	Potassium chloride (muriate of potash) (MOP)	4016	tonnes	2005	2005
Chile	High-income economies	75650.59	Chile	CL	Agricultural Use	5157	Monoammonium phosphate (MAP)	4023	tonnes	2010	2010
Trinidad and Tobago	High-income economies	52	Trinidad and Tobago	TT	Agricultural Use	5157	Superphosphates above 35%	4012	tonnes	2009	2009
Viet Nam	Lower-middle-income economies	5612	Viet Nam	VN	Agricultural Use	5157	Superphosphates above 35%	4012	tonnes	2009	2009
Malawi	Low income economies	4834	Malawi	MW	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2002	2002
Slovenia	High-income economies	213.7	Slovenia	SI	Agricultural Use	5157	Potassium sulphate (sulphate of potash) (SOP)	4017	tonnes	2010	2010
Argentina	High-income economies	202634	Argentina	AR	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2015	2015
Uruguay	High-income economies	22	Uruguay	UY	Agricultural Use	5157	Sodium nitrate	4005	tonnes	2016	2016
Cameroon	Lower-middle-income economies	14758	Cameroon	CM	Agricultural Use	5157	NPK fertilizers	4021	tonnes	2007	2007
Mexico	Upper-middle-income economies	3419865	Mexico	MX	Agricultural Use	5157	"Superphosphates, other"	4013	tonnes	2017	2017
Slovenia	High-income economies	784	Slovenia	SI	Agricultural Use	5157	Potassium chloride (muriate of potash) (MOP)	4016	tonnes	2003	2003
Czechia	High-income economies	3480	Czechia	CZ	Agricultural Use	5157	PK compounds	4027	tonnes	2011	2011
Dominican Republic	Upper-middle-income economies	5006	Dominican Republic	DO	Agricultural Use	5157	Superphosphates above 35%	4012	tonnes	2007	2007
Republic of Moldova	Lower-middle-income economies	3176	Republic of Moldova	MD	Agricultural Use	5157	Urea and ammonium nitrate solutions (UAN)	4006	tonnes	2014	2014
Madagascar	Low income economies	61	Madagascar	MG	Agricultural Use	5157	Other NP compounds	4024	tonnes	2006	2006
Uganda	Low income economies	4337	Uganda	UG	Agricultural Use	5157	Urea	4001	tonnes	2003	2003
Brazil	Upper-middle-income economies	1631473	Brazil	BR	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2007	2007
Republic of Moldova	Lower-middle-income economies	3232	Republic of Moldova	MD	Agricultural Use	5157	Urea and ammonium nitrate solutions (UAN)	4006	tonnes	2013	2013
Mexico	Upper-middle-income economies	113417	Mexico	MX	Agricultural Use	5157	Superphosphates above 35%	4012	tonnes	2002	2002
Peru	Upper-middle-income economies	149005	Peru	PE	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2012	2012
North Macedonia	Upper-middle-income economies	5396	North Macedonia	MK	Agricultural Use	5157	Urea	4001	tonnes	2004	2004
Sri Lanka	Lower-middle-income economies	624	Sri Lanka	LK	Agricultural Use	5157	Potassium sulphate (sulphate of potash) (SOP)	4017	tonnes	2015	2015
India	Lower-middle-income economies	2287760	India	IN	Agricultural Use	5157	"Superphosphates, other"	4013	tonnes	2007	2007
Canada	High-income economies	894000	Canada	CA	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2018	2018
Morocco	Lower-middle-income economies	5	Morocco	MA	Agricultural Use	5157	Other NP compounds	4024	tonnes	2009	2009
Kazakhstan	Upper-middle-income economies	2	Kazakhstan	KZ	Agricultural Use	5157	PK compounds	4027	tonnes	2005	2005
Kazakhstan	Upper-middle-income economies	2	Kazakhstan	KZ	Agricultural Use	5157	Monoammonium phosphate (MAP)	4023	tonnes	2005	2005
Jamaica	Upper-middle-income economies	1	Jamaica	JM	Agricultural Use	5157	Potassium nitrate	4025	tonnes	2002	2002
Jamaica	Upper-middle-income economies	1	Jamaica	JM	Agricultural Use	5157	Monoammonium phosphate (MAP)	4023	tonnes	2002	2002
Guatemala	Upper-middle-income economies	754	Guatemala	GT	Agricultural Use	5157	PK compounds	4027	tonnes	2010	2010
Bangladesh	Lower-middle-income economies	413458	Bangladesh	BD	Agricultural Use	5157	Superphosphates above 35%	4012	tonnes	2004	2004
Central African Republic	Low income economies	390	Central African Republic	CF	Agricultural Use	5157	NPK fertilizers	4021	tonnes	2011	2011
Republic of Moldova	Lower-middle-income economies	2	Republic of Moldova	MD	Agricultural Use	5157	PK compounds	4027	tonnes	2009	2009
Kenya	Lower-middle-income economies	3420	Kenya	KE	Agricultural Use	5157	Monoammonium phosphate (MAP)	4023	tonnes	2005	2005
Chile	High-income economies	543142	Chile	CL	Agricultural Use	5157	Urea	4001	tonnes	2013	2013
Lebanon	Upper-middle-income economies	21926	Lebanon	LB	Agricultural Use	5157	Ammonium nitrate (AN)	4003	tonnes	2004	2004
Iran (Islamic Republic of)	Upper-middle-income economies	33151	Iran (Islamic Republic of)	IR	Agricultural Use	5157	"Superphosphates, other"	4013	tonnes	2002	2002
Malawi	Low income economies	115505	Malawi	MW	Agricultural Use	5157	Urea	4001	tonnes	2007	2007
Turkey	Upper-middle-income economies	711673	Turkey	TR	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2005	2005
Pakistan	Lower-middle-income economies	2376	Pakistan	PK	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2005	2005
United States of America	High-income economies	497070	United States of America	US	Agricultural Use	5157	"Other potassic fertilizers, n.e.c."	4018	tonnes	2015	2015
Honduras	Lower-middle-income economies	58	Honduras	HN	Agricultural Use	5157	Potassium chloride (muriate of potash) (MOP)	4016	tonnes	2006	2006
Czechia	High-income economies	1134	Czechia	CZ	Agricultural Use	5157	Potassium nitrate	4025	tonnes	2009	2009
Paraguay	Upper-middle-income economies	6354	Paraguay	PY	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2006	2006
India	Lower-middle-income economies	18950	India	IN	Agricultural Use	5157	Potassium sulphate (sulphate of potash) (SOP)	4017	tonnes	2014	2014
Panama	High-income economies	6301	Panama	PA	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2007	2007
Mauritius	Upper-middle-income economies	8	Mauritius	MU	Agricultural Use	5157	PK compounds	4027	tonnes	2013	2013
Barbados	High-income economies	5705	Barbados	BB	Agricultural Use	5157	Urea	4001	tonnes	2004	2004
Slovakia	High-income economies	83073	Slovakia	SK	Agricultural Use	5157	Urea	4001	tonnes	2015	2015
Bolivia (Plurinational State of)	Lower-middle-income economies	512	Bolivia (Plurinational State of)	BO	Agricultural Use	5157	Potassium chloride (muriate of potash) (MOP)	4016	tonnes	2014	2014
Burkina Faso	Low income economies	2	Burkina Faso	BF	Agricultural Use	5157	Other NP compounds	4024	tonnes	2002	2002
Burkina Faso	Low income economies	2	Burkina Faso	BF	Agricultural Use	5157	Ammonium nitrate (AN)	4003	tonnes	2002	2002
Lithuania	High-income economies	80642	Lithuania	LT	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2008	2008
Nicaragua	Lower-middle-income economies	1248	Nicaragua	NI	Agricultural Use	5157	Monoammonium phosphate (MAP)	4023	tonnes	2005	2005
Guatemala	Upper-middle-income economies	45065	Guatemala	GT	Agricultural Use	5157	Ammonium nitrate (AN)	4003	tonnes	2002	2002
Albania	Upper-middle-income economies	30789	Albania	AL	Agricultural Use	5157	Urea	4001	tonnes	2006	2006
Kyrgyzstan	Lower-middle-income economies	600	Kyrgyzstan	KG	Agricultural Use	5157	Monoammonium phosphate (MAP)	4023	tonnes	2015	2015
Niger	Low income economies	614	Niger	NE	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2005	2005
Syrian Arab Republic	Low income economies	134676	Syrian Arab Republic	SY	Agricultural Use	5157	Urea	4001	tonnes	2009	2009
"China, Taiwan Province of"	High-income economies	679091	"China, Taiwan Province of"	TW	Agricultural Use	5157	NPK fertilizers	4021	tonnes	2012	2012
Viet Nam	Lower-middle-income economies	620461	Viet Nam	VN	Agricultural Use	5157	Potassium chloride (muriate of potash) (MOP)	4016	tonnes	2010	2010
Azerbaijan	Upper-middle-income economies	5687	Azerbaijan	AZ	Agricultural Use	5157	Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate	4004	tonnes	2002	2002
Ireland	High-income economies	615664	Ireland	IE	Agricultural Use	5157	Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate	4004	tonnes	2012	2012
Dominican Republic	Upper-middle-income economies	6523	Dominican Republic	DO	Agricultural Use	5157	Fertilizers n.e.c.	4030	tonnes	2014	2014
Turkey	Upper-middle-income economies	1	Turkey	TR	Agricultural Use	5157	Potassium sulphate (sulphate of potash) (SOP)	4017	tonnes	2009	2009
Greece	High-income economies	2719	Greece	GR	Agricultural Use	5157	PK compounds	4027	tonnes	2010	2010
Guinea	Low income economies	4980	Guinea	GN	Agricultural Use	5157	Ammonium nitrate (AN)	4003	tonnes	2004	2004
Ukraine	Lower-middle-income economies	7183	Ukraine	UA	Agricultural Use	5157	Superphosphates above 35%	4012	tonnes	2018	2018
Pakistan	Lower-middle-income economies	167100	Pakistan	PK	Agricultural Use	5157	"Superphosphates, other"	4013	tonnes	2004	2004
Ukraine	Lower-middle-income economies	45395	Ukraine	UA	Agricultural Use	5157	"Superphosphates, other"	4013	tonnes	2018	2018
Slovenia	High-income economies	84.7	Slovenia	SI	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2010	2010
Kenya	Lower-middle-income economies	29982	Kenya	KE	Agricultural Use	5157	Urea	4001	tonnes	2008	2008
Mexico	Upper-middle-income economies	50422	Mexico	MX	Agricultural Use	5157	Potassium sulphate (sulphate of potash) (SOP)	4017	tonnes	2005	2005
Brazil	Upper-middle-income economies	40956	Brazil	BR	Agricultural Use	5157	Potassium nitrate	4025	tonnes	2005	2005
Peru	Upper-middle-income economies	1625	Peru	PE	Agricultural Use	5157	Superphosphates above 35%	4012	tonnes	2008	2008
Switzerland	High-income economies	421	Switzerland	CH	Agricultural Use	5157	Urea and ammonium nitrate solutions (UAN)	4006	tonnes	2014	2014
Turkey	Upper-middle-income economies	640445	Turkey	TR	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2018	2018
Azerbaijan	Upper-middle-income economies	370	Azerbaijan	AZ	Agricultural Use	5157	"Superphosphates, other"	4013	tonnes	2004	2004
Denmark	High-income economies	3711	Denmark	DK	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2010	2010
Croatia	High-income economies	12043	Croatia	HR	Agricultural Use	5157	PK compounds	4027	tonnes	2016	2016
Tunisia	Lower-middle-income economies	4527	Tunisia	TN	Agricultural Use	5157	Potassium sulphate (sulphate of potash) (SOP)	4017	tonnes	2011	2011
Hungary	High-income economies	11677	Hungary	HU	Agricultural Use	5157	Other NP compounds	4024	tonnes	2009	2009
Nicaragua	Lower-middle-income economies	17374.94	Nicaragua	NI	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2011	2011
Estonia	High-income economies	53900	Estonia	EE	Agricultural Use	5157	NPK fertilizers	4021	tonnes	2005	2005
Guyana	Upper-middle-income economies	24	Guyana	GY	Agricultural Use	5157	Potassium sulphate (sulphate of potash) (SOP)	4017	tonnes	2011	2011
Guinea	Low income economies	6800	Guinea	GN	Agricultural Use	5157	Ammonium nitrate (AN)	4003	tonnes	2010	2010
Honduras	Lower-middle-income economies	235	Honduras	HN	Agricultural Use	5157	Ammonium nitrate (AN)	4003	tonnes	2002	2002
Czechia	High-income economies	82155	Czechia	CZ	Agricultural Use	5157	NPK fertilizers	4021	tonnes	2015	2015
Tunisia	Lower-middle-income economies	76.82	Tunisia	TN	Agricultural Use	5157	Urea and ammonium nitrate solutions (UAN)	4006	tonnes	2013	2013
Spain	High-income economies	176136	Spain	ES	Agricultural Use	5157	Potassium nitrate	4025	tonnes	2002	2002
Italy	High-income economies	96809	Italy	IT	Agricultural Use	5157	Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate	4004	tonnes	2018	2018
Czechia	High-income economies	222043	Czechia	CZ	Agricultural Use	5157	Urea	4001	tonnes	2017	2017
Yemen	Low income economies	137	Yemen	YE	Agricultural Use	5157	Superphosphates above 35%	4012	tonnes	2004	2004
Peru	Upper-middle-income economies	135459	Peru	PE	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2005	2005
Belarus	Upper-middle-income economies	237075.45	Belarus	BY	Agricultural Use	5157	Ammonium nitrate (AN)	4003	tonnes	2010	2010
Albania	Upper-middle-income economies	2	Albania	AL	Agricultural Use	5157	Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate	4004	tonnes	2005	2005
Australia	High-income economies	40000	Australia	AU	Agricultural Use	5157	"Ammonia, anhydrous"	4007	tonnes	2015	2015
India	Lower-middle-income economies	18493090	India	IN	Agricultural Use	5157	Urea	4001	tonnes	2002	2002
Iraq	Upper-middle-income economies	1857	Iraq	IQ	Agricultural Use	5157	"Superphosphates, other"	4013	tonnes	2015	2015
Denmark	High-income economies	19733	Denmark	DK	Agricultural Use	5157	PK compounds	4027	tonnes	2014	2014
Uruguay	High-income economies	236580	Uruguay	UY	Agricultural Use	5157	Urea	4001	tonnes	2012	2012
Ethiopia	Low income economies	222673	Ethiopia	ET	Agricultural Use	5157	Other NP compounds	4024	tonnes	2015	2015
Belize	Upper-middle-income economies	24.94	Belize	BZ	Agricultural Use	5157	Other NP compounds	4024	tonnes	2010	2010
Burundi	Low income economies	2667	Burundi	BI	Agricultural Use	5157	Urea	4001	tonnes	2013	2013
Thailand	Upper-middle-income economies	562389	Thailand	TH	Agricultural Use	5157	NPK fertilizers	4021	tonnes	2004	2004
Congo	Lower-middle-income economies	153	Congo	CG	Agricultural Use	5157	Ammonium nitrate (AN)	4003	tonnes	2011	2011
Trinidad and Tobago	High-income economies	50	Trinidad and Tobago	TT	Agricultural Use	5157	Superphosphates above 35%	4012	tonnes	2011	2011
Lebanon	Upper-middle-income economies	1486	Lebanon	LB	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2007	2007
Mexico	Upper-middle-income economies	28622	Mexico	MX	Agricultural Use	5157	Potassium sulphate (sulphate of potash) (SOP)	4017	tonnes	2009	2009
Brazil	Upper-middle-income economies	660893	Brazil	BR	Agricultural Use	5157	"Ammonia, anhydrous"	4007	tonnes	2014	2014
Burundi	Low income economies	5525	Burundi	BI	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2011	2011
Turkey	Upper-middle-income economies	88155	Turkey	TR	Agricultural Use	5157	Monoammonium phosphate (MAP)	4023	tonnes	2003	2003
Indonesia	Lower-middle-income economies	994759	Indonesia	ID	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2015	2015
Dominican Republic	Upper-middle-income economies	4.89	Dominican Republic	DO	Agricultural Use	5157	Other NP compounds	4024	tonnes	2010	2010
India	Lower-middle-income economies	4559810	India	IN	Agricultural Use	5157	Other NP compounds	4024	tonnes	2015	2015
France	High-income economies	70087	France	FR	Agricultural Use	5157	"Other potassic fertilizers, n.e.c."	4018	tonnes	2015	2015
Sweden	High-income economies	20828	Sweden	SE	Agricultural Use	5157	Ammonium nitrate (AN)	4003	tonnes	2014	2014
Trinidad and Tobago	High-income economies	44	Trinidad and Tobago	TT	Agricultural Use	5157	Ammonium nitrate (AN)	4003	tonnes	2005	2005
Madagascar	Low income economies	160	Madagascar	MG	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2002	2002
Argentina	High-income economies	453741	Argentina	AR	Agricultural Use	5157	Superphosphates above 35%	4012	tonnes	2010	2010
Fiji	Upper-middle-income economies	2	Fiji	FJ	Agricultural Use	5157	NPK fertilizers	4021	tonnes	2007	2007
Congo	Lower-middle-income economies	98	Congo	CG	Agricultural Use	5157	Other NP compounds	4024	tonnes	2011	2011
Hungary	High-income economies	1973	Hungary	HU	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2010	2010
Ireland	High-income economies	10346	Ireland	IE	Agricultural Use	5157	Superphosphates above 35%	4012	tonnes	2005	2005
Honduras	Lower-middle-income economies	14305	Honduras	HN	Agricultural Use	5157	Ammonium nitrate (AN)	4003	tonnes	2010	2010
Guinea	Low income economies	23	Guinea	GN	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2003	2003
Nicaragua	Lower-middle-income economies	160	Nicaragua	NI	Agricultural Use	5157	Phosphate rock	4011	tonnes	2016	2016
Latvia	High-income economies	5217	Latvia	LV	Agricultural Use	5157	Urea and ammonium nitrate solutions (UAN)	4006	tonnes	2017	2017
Guyana	Upper-middle-income economies	2203	Guyana	GY	Agricultural Use	5157	Superphosphates above 35%	4012	tonnes	2006	2006
Croatia	High-income economies	120149	Croatia	HR	Agricultural Use	5157	Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate	4004	tonnes	2013	2013
Italy	High-income economies	452369	Italy	IT	Agricultural Use	5157	NPK fertilizers	4021	tonnes	2009	2009
Mexico	Upper-middle-income economies	161009	Mexico	MX	Agricultural Use	5157	Monoammonium phosphate (MAP)	4023	tonnes	2002	2002
Oman	High-income economies	1069	Oman	OM	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2006	2006
Burundi	Low income economies	244	Burundi	BI	Agricultural Use	5157	NPK fertilizers	4021	tonnes	2008	2008
Barbados	High-income economies	15	Barbados	BB	Agricultural Use	5157	Potassium chloride (muriate of potash) (MOP)	4016	tonnes	2006	2006
Ecuador	Upper-middle-income economies	10165	Ecuador	EC	Agricultural Use	5157	Potassium sulphate (sulphate of potash) (SOP)	4017	tonnes	2006	2006
Hungary	High-income economies	18362	Hungary	HU	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2015	2015
Papua New Guinea	Lower-middle-income economies	1	Papua New Guinea	PG	Agricultural Use	5157	Potassium nitrate	4025	tonnes	2007	2007
Papua New Guinea	Lower-middle-income economies	1	Papua New Guinea	PG	Agricultural Use	5157	Monoammonium phosphate (MAP)	4023	tonnes	2007	2007
Canada	High-income economies	1096000	Canada	CA	Agricultural Use	5157	Urea and ammonium nitrate solutions (UAN)	4006	tonnes	2014	2014
Sweden	High-income economies	722.93	Sweden	SE	Agricultural Use	5157	Potassium sulphate (sulphate of potash) (SOP)	4017	tonnes	2011	2011
Malawi	Low income economies	34496	Malawi	MW	Agricultural Use	5157	Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate	4004	tonnes	2010	2010
Peru	Upper-middle-income economies	92.4	Peru	PE	Agricultural Use	5157	Other NP compounds	4024	tonnes	2006	2006
Hungary	High-income economies	500	Hungary	HU	Agricultural Use	5157	Potassium nitrate	4025	tonnes	2012	2012
Zambia	Lower-middle-income economies	14780	Zambia	ZM	Agricultural Use	5157	Monoammonium phosphate (MAP)	4023	tonnes	2011	2011
Ukraine	Lower-middle-income economies	129268	Ukraine	UA	Agricultural Use	5157	NPK fertilizers	4021	tonnes	2002	2002
Honduras	Lower-middle-income economies	17600	Honduras	HN	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2010	2010
Myanmar	Lower-middle-income economies	945	Myanmar	MM	Agricultural Use	5157	Superphosphates above 35%	4012	tonnes	2010	2010
Philippines	Lower-middle-income economies	141741	Philippines	PH	Agricultural Use	5157	Potassium sulphate (sulphate of potash) (SOP)	4017	tonnes	2006	2006
Tunisia	Lower-middle-income economies	420.52	Tunisia	TN	Agricultural Use	5157	Other NP compounds	4024	tonnes	2002	2002
Hungary	High-income economies	18200	Hungary	HU	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2014	2014
Uruguay	High-income economies	39617	Uruguay	UY	Agricultural Use	5157	Fertilizers n.e.c.	4030	tonnes	2017	2017
Senegal	Low income economies	64	Senegal	SN	Agricultural Use	5157	Monoammonium phosphate (MAP)	4023	tonnes	2010	2010
Mexico	Upper-middle-income economies	191836	Mexico	MX	Agricultural Use	5157	Monoammonium phosphate (MAP)	4023	tonnes	2004	2004
Slovenia	High-income economies	1488.5	Slovenia	SI	Agricultural Use	5157	PK compounds	4027	tonnes	2010	2010
Chile	High-income economies	43340	Chile	CL	Agricultural Use	5157	Potassium chloride (muriate of potash) (MOP)	4016	tonnes	2012	2012
Côte d'Ivoire	Lower-middle-income economies	27949	C?te d'Ivoire	CI	Agricultural Use	5157	Urea and ammonium nitrate solutions (UAN)	4006	tonnes	2006	2006
Uganda	Low income economies	8	Uganda	UG	Agricultural Use	5157	Potassium nitrate	4025	tonnes	2009	2009
Brazil	Upper-middle-income economies	6543852	Brazil	BR	Agricultural Use	5157	Potassium chloride (muriate of potash) (MOP)	4016	tonnes	2003	2003
Turkey	Upper-middle-income economies	1047718	Turkey	TR	Agricultural Use	5157	Ammonium nitrate (AN)	4003	tonnes	2009	2009
Belize	Upper-middle-income economies	183	Belize	BZ	Agricultural Use	5157	NPK fertilizers	4021	tonnes	2006	2006
Canada	High-income economies	934000	Canada	CA	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2007	2007
Finland	High-income economies	3372	Finland	FI	Agricultural Use	5157	Potassium nitrate	4025	tonnes	2009	2009
Japan	High-income economies	630011	Japan	JP	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2004	2004
India	Lower-middle-income economies	1840	India	IN	Agricultural Use	5157	Superphosphates above 35%	4012	tonnes	2014	2014
Slovakia	High-income economies	6557	Slovakia	SK	Agricultural Use	5157	Ammonium nitrate (AN)	4003	tonnes	2013	2013
Turkey	Upper-middle-income economies	23029	Turkey	TR	Agricultural Use	5157	Potassium nitrate	4025	tonnes	2004	2004
Trinidad and Tobago	High-income economies	8	Trinidad and Tobago	TT	Agricultural Use	5157	Superphosphates above 35%	4012	tonnes	2008	2008
Costa Rica	Upper-middle-income economies	114317	Costa Rica	CR	Agricultural Use	5157	Potassium chloride (muriate of potash) (MOP)	4016	tonnes	2009	2009
Guyana	Upper-middle-income economies	669	Guyana	GY	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2008	2008
Mexico	Upper-middle-income economies	190547.69	Mexico	MX	Agricultural Use	5157	Other NP compounds	4024	tonnes	2011	2011
Estonia	High-income economies	1898	Estonia	EE	Agricultural Use	5157	Potassium chloride (muriate of potash) (MOP)	4016	tonnes	2011	2011
Slovakia	High-income economies	2606	Slovakia	SK	Agricultural Use	5157	"Superphosphates, other"	4013	tonnes	2010	2010
Sweden	High-income economies	33671	Sweden	SE	Agricultural Use	5157	Potassium chloride (muriate of potash) (MOP)	4016	tonnes	2003	2003
Guinea	Low income economies	13	Guinea	GN	Agricultural Use	5157	NPK fertilizers	4021	tonnes	2006	2006
Sri Lanka	Lower-middle-income economies	765.07	Sri Lanka	LK	Agricultural Use	5157	Monoammonium phosphate (MAP)	4023	tonnes	2018	2018
Angola	Lower-middle-income economies	5000	Angola	AO	Agricultural Use	5157	Potassium chloride (muriate of potash) (MOP)	4016	tonnes	2005	2005
Argentina	High-income economies	14350	Argentina	AR	Agricultural Use	5157	Potassium nitrate	4025	tonnes	2016	2016
Suriname	Upper-middle-income economies	12967	Suriname	SR	Agricultural Use	5157	Ammonium nitrate (AN)	4003	tonnes	2010	2010
Guatemala	Upper-middle-income economies	82	Guatemala	GT	Agricultural Use	5157	PK compounds	4027	tonnes	2007	2007
Belize	Upper-middle-income economies	7243	Belize	BZ	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2006	2006
Sweden	High-income economies	342	Sweden	SE	Agricultural Use	5157	Ammonium sulphate	4002	tonnes	2010	2010
Republic of Moldova	Lower-middle-income economies	1789	Republic of Moldova	MD	Agricultural Use	5157	Fertilizers n.e.c.	4030	tonnes	2015	2015
Cameroon	Lower-middle-income economies	44895	Cameroon	CM	Agricultural Use	5157	Urea	4001	tonnes	2004	2004
Nepal	Low income economies	174579	Nepal	NP	Agricultural Use	5157	Urea	4001	tonnes	2014	2014
Costa Rica	Upper-middle-income economies	6111	Costa Rica	CR	Agricultural Use	5157	Monoammonium phosphate (MAP)	4023	tonnes	2007	2007
Chile	High-income economies	75227	Chile	CL	Agricultural Use	5157	Diammonium phosphate (DAP)	4022	tonnes	2013	2013
Suriname	Upper-middle-income economies	5932	Suriname	SR	Agricultural Use	5157	NPK fertilizers	4021	tonnes	2010	2010
