Country,Income_Group,ISO2,ISO3,prod_yield,Year,Fertilizers_y,prod_yield_value,Pesticide_x
Paraguay,Upper-middle-income economies,PY,PRY,Value Yield,2004,537967,6356574,14093
Malawi,Low income economies,MW,MWI,Value Prod,2006,285505,104642573,202
Malawi,Low income economies,MW,MWI,Value Yield,2006,285505,10882746,202
Myanmar,Lower-middle-income economies,MM,MMR,Value Prod,2009,159692,311314056,1091
Myanmar,Lower-middle-income economies,MM,MMR,Value Yield,2009,159692,5436270,1091
Madagascar,Low income economies,MG,MDG,Value Prod,2007,21032,87754226,94
Madagascar,Low income economies,MG,MDG,Value Yield,2007,21032,4304650,94
Azerbaijan,Upper-middle-income economies,AZ,AZE,Value Prod,2004,64695,35307867,149
Azerbaijan,Upper-middle-income economies,AZ,AZE,Value Yield,2004,64695,4970539,149
Barbados,High-income economies,BB,BRB,Value Prod,2003,1565,1935000,168
Barbados,High-income economies,BB,BRB,Value Yield,2003,1565,4183200,168
Antigua and Barbuda,High-income economies,AG,ATG,Value Prod,2010,25,67090,8
Antigua and Barbuda,High-income economies,AG,ATG,Value Yield,2010,25,1408044,8
Bolivia (Plurinational State of),Lower-middle-income economies,BO,BOL,Value Prod,2009,48808,92057511,10281
Bolivia (Plurinational State of),Lower-middle-income economies,BO,BOL,Value Yield,2009,48808,5548277,10281
Bulgaria,Upper-middle-income economies,BG,BGR,Value Prod,2006,284832,42984456,2104
Bulgaria,Upper-middle-income economies,BG,BGR,Value Yield,2006,284832,3446610,2104
Kenya,Lower-middle-income economies,KE,KEN,Value Prod,2004,291745,99114708,1578
Kenya,Lower-middle-income economies,KE,KEN,Value Yield,2004,291745,9071412,1578
Hungary,High-income economies,HU,HUN,Value Prod,2012,1266341,86429706,8141
Hungary,High-income economies,HU,HUN,Value Yield,2012,1266341,5959476,8141
Fiji,Upper-middle-income economies,FJ,FJI,Value Prod,2006,19198,20358090,492
Fiji,Upper-middle-income economies,FJ,FJI,Value Yield,2006,19198,5136756,492
Morocco,Lower-middle-income economies,MA,MAR,Value Prod,2010,910545.54,158561984,13697
Morocco,Lower-middle-income economies,MA,MAR,Value Yield,2010,910545.54,9823485,13697
Kyrgyzstan,Lower-middle-income economies,KG,KGZ,Value Prod,2011,82680,29765953,313
Kyrgyzstan,Lower-middle-income economies,KG,KGZ,Value Yield,2011,82680,5643827,313
Switzerland,High-income economies,CH,CHE,Value Prod,2015,230961.38,20736906,2267
Switzerland,High-income economies,CH,CHE,Value Yield,2015,230961.38,9318468,2267
Saint Kitts and Nevis,High-income economies,KN,KNA,Value Prod,2009,211,11211,15
Saint Kitts and Nevis,High-income economies,KN,KNA,Value Yield,2009,211,749064,15
India,Lower-middle-income economies,IN,IND,Value Prod,2014,53925430,6523458305,60280
India,Lower-middle-income economies,IN,IND,Value Yield,2014,53925430,9533349,60280
Rwanda,Low income economies,RW,RWA,Value Prod,2006,3704,39338346,289
Rwanda,Low income economies,RW,RWA,Value Yield,2006,3704,2275164,289
North Macedonia,Upper-middle-income economies,MK,MKD,Value Prod,2002,42322,9335322,240
North Macedonia,Upper-middle-income economies,MK,MKD,Value Yield,2002,42322,3756336,240
Bhutan,Lower-middle-income economies,BT,BTN,Value Prod,2002,2637,1892742,2
Bhutan,Lower-middle-income economies,BT,BTN,Value Yield,2002,2637,4096407,2
Lebanon,Upper-middle-income economies,LB,LBN,Value Prod,2010,354590,16667546,1816
Lebanon,Upper-middle-income economies,LB,LBN,Value Yield,2010,354590,9306535,1816
Sweden,High-income economies,SE,SWE,Value Prod,2009,562794,44365800,1935
Sweden,High-income economies,SE,SWE,Value Yield,2009,562794,6298980,1935
Lithuania,High-income economies,LT,LTU,Value Prod,2007,685085,23273660,2723
Lithuania,High-income economies,LT,LTU,Value Yield,2007,685085,3982875,2723
Zimbabwe,Low income economies,ZW,ZWE,Value Prod,2004,35247,54402754,3094
Zimbabwe,Low income economies,ZW,ZWE,Value Yield,2004,35247,8330252,3094
United Kingdom of Great Britain and Northern Ireland,High-income economies,GB,GBR,Value Prod,2002,4802200,211820385,30995
United Kingdom of Great Britain and Northern Ireland,High-income economies,GB,GBR,Value Yield,2002,4802200,7190815,30995
Turkey,Upper-middle-income economies,TR,TUR,Value Prod,2007,4950797,614176612,48716
Turkey,Upper-middle-income economies,TR,TUR,Value Yield,2007,4950797,10112396,48716
Turkey,Upper-middle-income economies,TR,TUR,Value Prod,2018,5145764,771071042,60020
Turkey,Upper-middle-income economies,TR,TUR,Value Yield,2018,5145764,12747028,60020
Burundi,Low income economies,BI,BDI,Value Prod,2013,18393.71,33224900,956
Burundi,Low income economies,BI,BDI,Value Yield,2013,18393.71,5763410,956
Finland,High-income economies,FI,FIN,Value Prod,2007,1013288,28858425,1479
Finland,High-income economies,FI,FIN,Value Yield,2007,1013288,5040680,1479
Ghana,Lower-middle-income economies,GH,GHA,Value Prod,2018,578183.7,296319499,392
Ghana,Lower-middle-income economies,GH,GHA,Value Yield,2018,578183.7,6795523,392
Ghana,Lower-middle-income economies,GH,GHA,Value Prod,2007,163565,162525720,133
Ghana,Lower-middle-income economies,GH,GHA,Value Yield,2007,163565,5440008,133
Czechia,High-income economies,CZ,CZE,Value Prod,2012,1197443,69234084,5345
Czechia,High-income economies,CZ,CZE,Value Yield,2012,1197443,7320636,5345
Syrian Arab Republic,Low income economies,SY,SYR,Value Prod,2006,969105,99737764,1422
Syrian Arab Republic,Low income economies,SY,SYR,Value Yield,2006,969105,9156539,1422
Netherlands,High-income economies,NL,NLD,Value Prod,2017,1149310,114125660,10601
Netherlands,High-income economies,NL,NLD,Value Yield,2017,1149310,11825780,10601
Colombia,Upper-middle-income economies,CO,COL,Value Prod,2016,647299,441972510,32392
Colombia,Upper-middle-income economies,CO,COL,Value Yield,2016,647299,10447437,32392
Colombia,Upper-middle-income economies,CO,COL,Value Prod,2005,2131240,409287207,117881
Colombia,Upper-middle-income economies,CO,COL,Value Yield,2005,2131240,11974991,117881
Mexico,Upper-middle-income economies,MX,MEX,Value Prod,2013,5036362,944858089,47551
Mexico,Upper-middle-income economies,MX,MEX,Value Yield,2013,5036362,10949134,47551
Sweden,High-income economies,SE,SWE,Value Prod,2004,271623,45609650,1353
Sweden,High-income economies,SE,SWE,Value Yield,2004,271623,5517070,1353
Rwanda,Low income economies,RW,RWA,Value Prod,2011,350,47588028,182
Rwanda,Low income economies,RW,RWA,Value Yield,2011,350,2853006,182
United Republic of Tanzania,Low income economies,TZ,TZA,Value Prod,2015,154688.56,224557137,1
United Republic of Tanzania,Low income economies,TZ,TZA,Value Yield,2015,154688.56,6316254,1
Kazakhstan,Upper-middle-income economies,KZ,KAZ,Value Prod,2003,2848,141503873,3607
Kazakhstan,Upper-middle-income economies,KZ,KAZ,Value Yield,2003,2848,4984413,3607
Lebanon,Upper-middle-income economies,LB,LBN,Value Prod,2009,275652,17692675,1816
Lebanon,Upper-middle-income economies,LB,LBN,Value Yield,2009,275652,8347962,1816
North Macedonia,Upper-middle-income economies,MK,MKD,Value Prod,2006,65747,10914144,327
North Macedonia,Upper-middle-income economies,MK,MKD,Value Yield,2006,65747,3849858,327
India,Lower-middle-income economies,IN,IND,Value Prod,2013,51965630,6338888276,45620
India,Lower-middle-income economies,IN,IND,Value Yield,2013,51965630,9214618,45620
Slovakia,High-income economies,SK,SVK,Value Prod,2018,509016.96,34244580,1786
Slovakia,High-income economies,SK,SVK,Value Yield,2018,509016.96,7958909,1786
Uruguay,High-income economies,UY,URY,Value Prod,2008,372988,26077272,13335
Uruguay,High-income economies,UY,URY,Value Yield,2008,372988,7038432,13335
Slovenia,High-income economies,SI,SVN,Value Prod,2007,143603,5065240,1155
Slovenia,High-income economies,SI,SVN,Value Yield,2007,143603,4656138,1155
Tunisia,Lower-middle-income economies,TN,TUN,Value Prod,2015,746817.76,54021303,1003
Tunisia,Lower-middle-income economies,TN,TUN,Value Yield,2015,746817.76,8888138,1003
Egypt,Lower-middle-income economies,EG,EGY,Value Prod,2002,2653000,467721590,5147
Egypt,Lower-middle-income economies,EG,EGY,Value Yield,2002,2653000,13705629,5147
Bolivia (Plurinational State of),Lower-middle-income economies,BO,BOL,Value Prod,2014,512,95771459,15327
Bolivia (Plurinational State of),Lower-middle-income economies,BO,BOL,Value Yield,2014,512,5818533,15327
Syrian Arab Republic,Low income economies,SY,SYR,Value Prod,2009,416009,89451586,1422
Syrian Arab Republic,Low income economies,SY,SYR,Value Yield,2009,416009,9434838,1422
Saint Lucia,Upper-middle-income economies,LC,LCA,Value Prod,2009,586,235808,196
Saint Lucia,Upper-middle-income economies,LC,LCA,Value Yield,2009,586,2799438,196
Kenya,Lower-middle-income economies,KE,KEN,Value Prod,2007,386411,120372077,1578
Kenya,Lower-middle-income economies,KE,KEN,Value Yield,2007,386411,10170629,1578
Fiji,Upper-middle-income economies,FJ,FJI,Value Prod,2005,19428,18246090,467
Fiji,Upper-middle-income economies,FJ,FJI,Value Yield,2005,19428,4811160,467
Chile,High-income economies,CL,CHL,Value Prod,2008,801166.57,94974215,9831
Chile,High-income economies,CL,CHL,Value Yield,2008,801166.57,11644738,9831
United Republic of Tanzania,Low income economies,TZ,TZA,Value Prod,2003,68894,109434325,1
United Republic of Tanzania,Low income economies,TZ,TZA,Value Yield,2003,68894,9304869,1
Ecuador,Upper-middle-income economies,EC,ECU,Value Prod,2011,652075.74,122321316,17529
Ecuador,Upper-middle-income economies,EC,ECU,Value Yield,2011,652075.74,7717422,17529
Guinea,Low income economies,GN,GIN,Value Prod,2006,7442,41326264,376
Guinea,Low income economies,GN,GIN,Value Yield,2006,7442,5252471,376
Uruguay,High-income economies,UY,URY,Value Prod,2007,422587,25218252,14057
Uruguay,High-income economies,UY,URY,Value Yield,2007,422587,7695894,14057
Philippines,Lower-middle-income economies,PH,PHL,Value Prod,2002,946571,411058837,17386
Philippines,Lower-middle-income economies,PH,PHL,Value Yield,2002,946571,6964111,17386
Nicaragua,Lower-middle-income economies,NI,NIC,Value Prod,2015,167289,49631700,4414
Nicaragua,Lower-middle-income economies,NI,NIC,Value Yield,2015,167289,9226284,4414
Saint Kitts and Nevis,High-income economies,KN,KNA,Value Prod,2006,200,9861,13
Saint Kitts and Nevis,High-income economies,KN,KNA,Value Yield,2006,200,735828,13
Iraq,Upper-middle-income economies,IQ,IRQ,Value Prod,2008,210000,51167249,957
Iraq,Upper-middle-income economies,IQ,IRQ,Value Yield,2008,210000,3087826,957
Burundi,Low income economies,BI,BDI,Value Prod,2016,12927.96,28968785,50
Burundi,Low income economies,BI,BDI,Value Yield,2016,12927.96,5093900,50
Dominican Republic,Upper-middle-income economies,DO,DOM,Value Prod,2011,196486.53,67717692,6384
Dominican Republic,Upper-middle-income economies,DO,DOM,Value Yield,2011,196486.53,7238560,6384
United States of America,High-income economies,US,USA,Value Prod,2011,38008643.37,3753600438,391299
United States of America,High-income economies,US,USA,Value Yield,2011,38008643.37,14447006,391299
Myanmar,Lower-middle-income economies,MM,MMR,Value Prod,2010,168226,311739552,3340
Myanmar,Lower-middle-income economies,MM,MMR,Value Yield,2010,168226,5463546,3340
Panama,High-income economies,PA,PAN,Value Prod,2007,44036,20016918,2240
Panama,High-income economies,PA,PAN,Value Yield,2007,44036,6347070,2240
Ireland,High-income economies,IE,IRL,Value Prod,2008,955679,15683945,2790
Ireland,High-income economies,IE,IRL,Value Yield,2008,955679,8310288,2790
Paraguay,Upper-middle-income economies,PY,PRY,Value Prod,2007,731320,79113012,17603
Paraguay,Upper-middle-income economies,PY,PRY,Value Yield,2007,731320,7085556,17603
Suriname,Upper-middle-income economies,SR,SUR,Value Prod,2009,22078,3018600,616
Suriname,Upper-middle-income economies,SR,SUR,Value Yield,2009,22078,7152096,616
Bangladesh,Lower-middle-income economies,BD,BGD,Value Prod,2005,3413149,352561458,8091
Bangladesh,Lower-middle-income economies,BD,BGD,Value Yield,2005,3413149,5238534,8091
Senegal,Low income economies,SN,SEN,Value Prod,2014,86000,26276852,610
Senegal,Low income economies,SN,SEN,Value Yield,2014,86000,11132779,610
Mauritius,Upper-middle-income economies,MU,MUS,Value Prod,2015,31661,24706818,2374
Mauritius,Upper-middle-income economies,MU,MUS,Value Yield,2015,31661,8936585,2374
Brazil,Upper-middle-income economies,BR,BRA,Value Prod,2012,29822269,6361952275,346583
Brazil,Upper-middle-income economies,BR,BRA,Value Yield,2012,29822269,11006751,346583
Azerbaijan,Upper-middle-income economies,AZ,AZE,Value Prod,2009,67101,45739694,316
Azerbaijan,Upper-middle-income economies,AZ,AZE,Value Yield,2009,67101,5604347,316
Trinidad and Tobago,High-income economies,TT,TTO,Value Prod,2002,853,8733144,181
Trinidad and Tobago,High-income economies,TT,TTO,Value Yield,2002,853,6020035,181
Cameroon,Lower-middle-income economies,CM,CMR,Value Prod,2009,93088,98326974,815
Cameroon,Lower-middle-income economies,CM,CMR,Value Yield,2009,93088,2726500,815
Ethiopia,Low income economies,ET,ETH,Value Prod,2002,314799,95120347,823
Ethiopia,Low income economies,ET,ETH,Value Yield,2002,314799,8531033,823
Brazil,Upper-middle-income economies,BR,BRA,Value Prod,2009,18786814,6016764887,335742
Brazil,Upper-middle-income economies,BR,BRA,Value Yield,2009,18786814,11129027,335742
Bolivia (Plurinational State of),Lower-middle-income economies,BO,BOL,Value Prod,2007,52838.64,75708941,8427
Bolivia (Plurinational State of),Lower-middle-income economies,BO,BOL,Value Yield,2007,52838.64,5772389,8427
Guatemala,Upper-middle-income economies,GT,GTM,Value Prod,2005,450280,171082023,13506
Guatemala,Upper-middle-income economies,GT,GTM,Value Yield,2005,450280,12654642,13506
Congo,Lower-middle-income economies,CG,COG,Value Prod,2006,56,12343152,5
Congo,Lower-middle-income economies,CG,COG,Value Yield,2006,56,4109784,5
Venezuela (Bolivarian Republic of),Upper-middle-income economies,VE,VEN,Value Prod,2011,1009415,99702300,3928
Venezuela (Bolivarian Republic of),Upper-middle-income economies,VE,VEN,Value Yield,2011,1009415,7807668,3928
Sri Lanka,Lower-middle-income economies,LK,LKA,Value Prod,2017,279157.93,37781359,1266
Sri Lanka,Lower-middle-income economies,LK,LKA,Value Yield,2017,279157.93,5290194,1266
Indonesia,Lower-middle-income economies,ID,IDN,Value Prod,2014,9471891,1147101004,1597
Indonesia,Lower-middle-income economies,ID,IDN,Value Yield,2014,9471891,10267558,1597
Ethiopia,Low income economies,ET,ETH,Value Prod,2009,426676,144239354,3699
Ethiopia,Low income economies,ET,ETH,Value Yield,2009,426676,4605762,3699
Myanmar,Lower-middle-income economies,MM,MMR,Value Prod,2011,345640,294398148,4642
Myanmar,Lower-middle-income economies,MM,MMR,Value Yield,2011,345640,5447268,4642
Paraguay,Upper-middle-income economies,PY,PRY,Value Prod,2006,568574,71225904,16433
Paraguay,Upper-middle-income economies,PY,PRY,Value Yield,2006,568574,5584830,16433
Slovenia,High-income economies,SI,SVN,Value Prod,2017,130523.63,4620530,1087
Slovenia,High-income economies,SI,SVN,Value Yield,2017,130523.63,3406374,1087
France,High-income economies,FR,FRA,Value Prod,2017,8924208,984732987,70604
France,High-income economies,FR,FRA,Value Yield,2017,8924208,13713819,70604
Trinidad and Tobago,High-income economies,TT,TTO,Value Prod,2007,4737.48,5643264,107
Trinidad and Tobago,High-income economies,TT,TTO,Value Yield,2007,4737.48,5433799,107
Romania,Upper-middle-income economies,RO,ROU,Value Prod,2007,38977,104190822,6314
Romania,Upper-middle-income economies,RO,ROU,Value Yield,2007,38977,4341174,6314
Croatia,High-income economies,HR,HRV,Value Prod,2004,277295,39139667,2174
Croatia,High-income economies,HR,HRV,Value Yield,2004,277295,7830767,2174
Bolivia (Plurinational State of),Lower-middle-income economies,BO,BOL,Value Prod,2002,26031,63449813,4477
Bolivia (Plurinational State of),Lower-middle-income economies,BO,BOL,Value Yield,2002,26031,5530609,4477
Nepal,Low income economies,NP,NPL,Value Prod,2013,225404,138040210,455
Nepal,Low income economies,NP,NPL,Value Yield,2013,225404,6814626,455
Philippines,Lower-middle-income economies,PH,PHL,Value Prod,2014,335475,547966636,21266
Philippines,Lower-middle-income economies,PH,PHL,Value Yield,2014,335475,7304990,21266
Bulgaria,Upper-middle-income economies,BG,BGR,Value Prod,2004,43844,57344916,2361
Bulgaria,Upper-middle-income economies,BG,BGR,Value Yield,2004,43844,3871614,2361
United Republic of Tanzania,Low income economies,TZ,TZA,Value Prod,2014,145966.2,221426044,1
United Republic of Tanzania,Low income economies,TZ,TZA,Value Yield,2014,145966.2,5943441,1
Kenya,Lower-middle-income economies,KE,KEN,Value Prod,2002,360678,95795084,1578
Kenya,Lower-middle-income economies,KE,KEN,Value Yield,2002,360678,8886045,1578
South Africa,Upper-middle-income economies,ZA,ZAF,Value Prod,2004,318891,298627784,26857
South Africa,Upper-middle-income economies,ZA,ZAF,Value Yield,2004,318891,10926440,26857
Morocco,Lower-middle-income economies,MA,MAR,Value Prod,2008,583200,139584228,13697
Morocco,Lower-middle-income economies,MA,MAR,Value Yield,2008,583200,9158100,13697
Canada,High-income economies,CA,CAN,Value Prod,2014,8242000,305431140,76314
Canada,High-income economies,CA,CAN,Value Yield,2014,8242000,7536350,76314
Croatia,High-income economies,HR,HRV,Value Prod,2009,495421,45986038,2070
Croatia,High-income economies,HR,HRV,Value Yield,2009,495421,9911685,2070
Nicaragua,Lower-middle-income economies,NI,NIC,Value Prod,2010,110588.99,38888796,12242
Nicaragua,Lower-middle-income economies,NI,NIC,Value Yield,2010,110588.99,7583784,12242
Lebanon,Upper-middle-income economies,LB,LBN,Value Prod,2008,59227,20606439,1816
Lebanon,Upper-middle-income economies,LB,LBN,Value Yield,2008,59227,12068231,1816
Oman,High-income economies,OM,OMN,Value Prod,2002,5436,2813455,87
Oman,High-income economies,OM,OMN,Value Yield,2002,5436,4018278,87
India,Lower-middle-income economies,IN,IND,Value Prod,2012,53781490,6336717485,52980
India,Lower-middle-income economies,IN,IND,Value Yield,2012,53781490,9365489,52980
El Salvador,Lower-middle-income economies,SV,SLV,Value Prod,2009,274008,52647119,3334
El Salvador,Lower-middle-income economies,SV,SLV,Value Yield,2009,274008,10866037,3334
Georgia,Lower-middle-income economies,GE,GEO,Value Prod,2007,57080.9,9354324,3081
Georgia,Lower-middle-income economies,GE,GEO,Value Yield,2007,57080.9,2162902,3081
Estonia,High-income economies,EE,EST,Value Prod,2009,106610,4372052,402
Estonia,High-income economies,EE,EST,Value Yield,2009,106610,2133915,402
Georgia,Lower-middle-income economies,GE,GEO,Value Prod,2018,6800,8341176,2237
Georgia,Lower-middle-income economies,GE,GEO,Value Yield,2018,6800,2444400,2237
United Republic of Tanzania,Low income economies,TZ,TZA,Value Prod,2008,146306,166727218,1
United Republic of Tanzania,Low income economies,TZ,TZA,Value Yield,2008,146306,6228117,1
Uganda,Low income economies,UG,UGA,Value Prod,2004,16880,122047455,88
Uganda,Low income economies,UG,UGA,Value Yield,2004,16880,4439540,88
Turkey,Upper-middle-income economies,TR,TUR,Value Prod,2016,5730214,777370076,50054
Turkey,Upper-middle-income economies,TR,TUR,Value Yield,2016,5730214,12549831,50054
Turkey,Upper-middle-income economies,TR,TUR,Value Prod,2005,6749733,689958171,40332
Turkey,Upper-middle-income economies,TR,TUR,Value Yield,2005,6749733,10190033,40332
Yemen,Low income economies,YE,YEM,Value Prod,2010,54000,20367666,134
Yemen,Low income economies,YE,YEM,Value Yield,2010,54000,3757992,134
Turkey,Upper-middle-income economies,TR,TUR,Value Prod,2002,4175107,646258081,27915
Turkey,Upper-middle-income economies,TR,TUR,Value Yield,2002,4175107,9750580,27915
France,High-income economies,FR,FRA,Value Prod,2014,8805057,948919265,75339
France,High-income economies,FR,FRA,Value Yield,2014,8805057,13398924,75339
Latvia,High-income economies,LV,LVA,Value Prod,2007,209453,13203055,1113
Latvia,High-income economies,LV,LVA,Value Yield,2007,209453,3671185,1113
Côte d'Ivoire,Lower-middle-income economies,CI,CIV,Value Prod,2009,19314,97173503,93
Côte d'Ivoire,Lower-middle-income economies,CI,CIV,Value Yield,2009,19314,7150633,93
Republic of Moldova,Lower-middle-income economies,MD,MDA,Value Prod,2014,129917,35866878,2500
Republic of Moldova,Lower-middle-income economies,MD,MDA,Value Yield,2014,129917,4846338,2500
Oman,High-income economies,OM,OMN,Value Prod,2015,30000,5471046,333
Oman,High-income economies,OM,OMN,Value Yield,2015,30000,5387376,333
Mexico,Upper-middle-income economies,MX,MEX,Value Prod,2015,5367996,937404657,48293
Mexico,Upper-middle-income economies,MX,MEX,Value Yield,2015,5367996,10679074,48293
Bhutan,Lower-middle-income economies,BT,BTN,Value Prod,2007,2032,3425436,7
Bhutan,Lower-middle-income economies,BT,BTN,Value Yield,2007,2032,4703097,7
Bhutan,Lower-middle-income economies,BT,BTN,Value Prod,2018,4585.64,2291394,4
Bhutan,Lower-middle-income economies,BT,BTN,Value Yield,2018,4585.64,5330535,4
India,Lower-middle-income economies,IN,IND,Value Prod,2011,54457610,6101669434,55540
India,Lower-middle-income economies,IN,IND,Value Yield,2011,54457610,9253727,55540
United Republic of Tanzania,Low income economies,TZ,TZA,Value Prod,2010,224807,190981861,1
United Republic of Tanzania,Low income economies,TZ,TZA,Value Yield,2010,224807,5861961,1
Japan,High-income economies,JP,JPN,Value Prod,2008,1522295,272846147,58750
Japan,High-income economies,JP,JPN,Value Yield,2008,1522295,11769723,58750
Lebanon,Upper-middle-income economies,LB,LBN,Value Prod,2015,76000,20119603,1816
Lebanon,Upper-middle-income economies,LB,LBN,Value Yield,2015,76000,9226812,1816
United Republic of Tanzania,Low income economies,TZ,TZA,Value Prod,2004,85002,145257952,1
United Republic of Tanzania,Low income economies,TZ,TZA,Value Yield,2004,85002,9436735,1
Kazakhstan,Upper-middle-income economies,KZ,KAZ,Value Prod,2006,266138,155336797,3926
Kazakhstan,Upper-middle-income economies,KZ,KAZ,Value Yield,2006,266138,5741183,3926
Malawi,Low income economies,MW,MWI,Value Prod,2009,212568,132216189,736
Malawi,Low income economies,MW,MWI,Value Yield,2009,212568,11138932,736
Spain,High-income economies,ES,ESP,Value Prod,2004,4115437,499678683,47445
Spain,High-income economies,ES,ESP,Value Yield,2004,4115437,11501511,47445
Egypt,Lower-middle-income economies,EG,EGY,Value Prod,2012,4476000,616703920,13991
Egypt,Lower-middle-income economies,EG,EGY,Value Yield,2012,4476000,13261367,13991
Niger,Low income economies,NE,NER,Value Prod,2009,11591,25959735,7
Niger,Low income economies,NE,NER,Value Yield,2009,11591,3954410,7
Costa Rica,Upper-middle-income economies,CR,CRI,Value Prod,2010,241686,70572726,14242
Costa Rica,Upper-middle-income economies,CR,CRI,Value Yield,2010,241686,10545388,14242
